time_utc,Eqpt_1_Avg_V,Eqpt_3_Avg_V,Eqpt_1_Avg_A,Eqpt_3_Avg_A,Eqpt_2_Avg_V,Eqpt_4_Avg_V,Eqpt_2_Avg_A,Eqpt_4_Avg_A,Eqpt_1_V_L12,Eqpt_1_V_L23,Eqpt_1_V_L31,Eqpt_1_A_Ph1,Eqpt_1_A_Ph2,Eqpt_1_A_Ph3,Eqpt_2_V_L12,Eqpt_2_V_L23,Eqpt_2_V_L31,Eqpt_2_A_Ph1,Eqpt_2_A_Ph2,Eqpt_2_A_Ph3,Eqpt_3_V_L12,Eqpt_3_V_L23,Eqpt_3_V_L31,Eqpt_3_A_Ph1,Eqpt_3_A_Ph2,Eqpt_3_A_Ph3,Eqpt_4_V_L12,Eqpt_4_V_L23,Eqpt_4_V_L31,Eqpt_4_A_Ph1,Eqpt_4_A_Ph2,Eqpt_4_A_Ph3,Chiller_A_Temp_C,Chiller_B_Temp_C
30/01/2025 21:00,,,,,,,,,,,,,,,,,,,,,,,,,,,482.97,483.97,483.27,5.14,0.92,4.64,,
30/01/2025 22:00,,,,,,,,,,,,,,,,,,,,,,,,,,,484,484.98,484.05,4.24,1,3.68,,
30/01/2025 23:00,,,,,,,,,,,,,,,,,,,,,485.97,486.07,487.02,3.46,2.91,3.11,485.94,487.07,486.17,5.92,2.43,4.6,,
31/01/2025 0:00,,,,,,,,,,,,,,,,,,,,,,,,,,,488.83,489.96,488.81,4.4,2.52,2.81,,
31/01/2025 1:00,,,,,,,,,,,,,,,,,,,,,,,,,,,488.44,490.13,488.47,4.33,2.52,2.74,,
31/01/2025 2:00,,,,,,,,,,,,,,,,,,,,,,,,,,,489.2,491.37,489.35,4.33,2.53,2.74,,
31/01/2025 3:00,,,,,,,,,,,,,,,,,,,,,,,,,,,492.5,494.41,492.67,4.32,2.53,2.73,,
31/01/2025 4:00,,,,,,,,,,,,,,,,,,,,,,,,,,,490.7,492.46,490.88,4.33,2.53,2.74,,
31/01/2025 5:00,,,,,,,,,,,,,,,,,,,,,,,,,,,492.34,493.87,492.55,4.32,2.53,2.73,,
31/01/2025 6:00,,,,,,,,,,,,,,,,,,,,,,,,,,,492.66,494.35,492.88,4.32,2.53,2.73,,
31/01/2025 7:00,,,,,,,,,,,,,,,,,,,,,,,,,,,493.14,494.74,493.32,4.31,2.52,2.73,,
31/01/2025 8:00,,,,,,,,,,,,,,,,,,,,,,,,,,,493.81,495.39,493.94,4.32,2.53,2.72,,
31/01/2025 9:00,,,,,,,,,,,,,,,,,,,,,493.96,494.25,495.74,0.6,0.61,0.76,493.95,495.67,494.36,4.31,2.52,2.73,,
31/01/2025 10:00,,,,,,,,,,,,,,,,,,,,,493.64,494.13,495.49,0.59,0.6,0.76,493.48,495.44,494.07,4.31,2.52,2.73,,
31/01/2025 11:00,,,,,,,,,,,,,,,,,,,,,493.36,493.77,494.99,0.59,0.59,0.75,492.72,494.57,493.2,4.31,2.51,2.73,,
31/01/2025 12:00,,,,,,,,,,,,,,,,,,,,,490.15,490.34,492.03,3.53,2.97,3.29,490.11,492,490.69,7.02,3.65,5.51,,
31/01/2025 13:00,,,,,,,,,,,,,,,,,,,,,489.53,489.92,491.35,4.41,3.83,4.12,488.92,490.57,490.19,6.12,2.62,4.66,,
31/01/2025 14:00,,,,,,,,,,,,,,,,,,,,,487.3,487.92,489.04,3.54,3.02,3.21,486.67,488.48,487.51,6.61,3.13,5.16,,
31/01/2025 15:00,,,,,,,,,,,,,,,,,,,,,485.03,485.51,486.78,3.5,2.9,3.17,484.59,486.37,485.29,6.65,3.99,5.14,,
31/01/2025 16:00,,,,,,,,,,,,,,,,,,,,,483.8,484.42,485.55,3.5,2.86,3.17,483.18,484.72,484.58,5.84,2.59,4.36,,
31/01/2025 17:00,,,,,,,,,0,0,0,0,0,0,,,,,,,482.34,482.78,483.89,4.01,3.37,3.67,481.75,483.31,482.74,5.72,2.88,4.24,,
31/01/2025 18:00,,,,,,,,,0,0,0,26.69,25.6,34.04,0,0,0,25.11,24.41,18.71,481.58,482.04,483.2,3.48,2.82,3.16,481.38,483.07,481.97,5.1,2.55,3.57,,
31/01/2025 19:00,,,,,,,,,0,0,0,33.22,32.04,41.34,0,0,0,11.11,11.31,8.51,481.5,482.02,482.92,4.09,3.49,3.74,481.32,482.83,481.97,4.38,2.55,2.76,,
31/01/2025 20:00,,,,,,,,,0,0,0,28.37,26.89,35.26,0,0,0,7.69,7.78,5.88,482.91,483.19,483.76,3.44,2.86,3.09,482.72,483.65,483.12,4.39,2.56,2.76,,
31/01/2025 21:00,,,,,,,,,0,0,0,31.42,30.1,39.45,0,0,0,14.08,14.1,10.54,483.59,483.93,484.4,3.44,2.87,3.12,483.42,484.4,483.87,4.38,2.55,2.76,,
31/01/2025 22:00,,,,,,,,,127.33,126.97,127.36,53.31,52.96,58.39,460.12,460.5,460.76,20.29,20.47,15.39,485.39,485.62,486.25,6.14,5.11,5.55,485.21,486.2,485.58,7.7,4.51,4.83,,
